Time(kyBP),CO2(ppm)
0.0,310.93
0.2,285.59
0.4,285.59
0.6,285.59
0.8,285.59
1.0,285.59
1.2,285.59
1.4,285.59
1.6,285.59
1.8,285.59
2.0,285.59
2.2,285.59
2.4,285.59
2.6,285.59
2.8,283.60
3.0,281.61
3.2,279.63
3.4,277.64
3.6,275.65
3.8,273.67
4.0,270.61
4.2,267.95
4.4,267.48
4.6,267.02
4.8,266.57
5.0,266.12
5.2,265.67
5.4,265.22
5.6,264.76
5.8,264.31
6.0,263.86
6.2,263.41
6.4,262.96
6.6,262.50
6.8,261.74
7.0,260.40
7.2,259.05
7.4,257.70
7.6,256.35
7.8,255.02
8.0,255.31
8.2,256.60
8.4,257.88
8.6,259.14
8.8,259.77
9.0,260.04
9.2,260.31
9.4,260.58
9.6,260.84
9.8,261.11
10.0,261.38
10.2,261.70
10.4,262.20
10.6,262.71
10.8,263.23
11.0,262.19
11.2,254.38
11.4,246.20
11.6,242.28
11.8,239.46
12.0,238.13
12.2,237.85
12.4,237.56
12.6,237.28
12.8,236.99
13.0,236.71
13.2,236.42
13.4,235.34
13.6,232.09
13.8,228.73
14.0,225.56
14.2,223.84
14.4,222.41
14.6,220.98
14.8,219.55
15.0,218.12
15.2,216.69
15.4,215.26
15.6,213.83
15.8,212.40
16.0,210.97
16.2,209.54
16.4,208.11
16.6,206.68
16.8,205.25
17.0,203.82
17.2,202.39
17.4,200.96
17.6,199.53
17.8,198.10
18.0,196.67
18.2,195.24
18.4,193.81
18.6,192.38
18.8,190.95
19.0,189.52
19.2,188.09
19.4,186.66
19.6,185.23
19.8,183.80
20.0,182.51
20.2,182.64
20.4,183.14
20.6,183.64
20.8,184.14
21.0,184.64
21.2,185.14
21.4,185.64
21.6,186.14
21.8,186.63
22.0,187.13
22.2,187.63
22.4,188.13
22.6,188.63
22.8,189.11
23.0,189.33
23.2,189.48
23.4,189.63
23.6,189.79
23.8,189.94
24.0,190.09
24.2,190.24
24.4,190.39
24.6,190.54
24.8,190.70
25.0,190.85
25.2,191.00
25.4,191.15
25.6,191.30
25.8,191.45
26.0,191.55
26.2,191.39
26.4,191.19
26.6,190.99
26.8,190.79
27.0,190.58
27.2,190.38
27.4,190.18
27.6,189.98
27.8,189.78
28.0,189.57
28.2,189.37
28.4,189.17
28.6,188.97
28.8,188.77
29.0,188.58
29.2,188.96
29.4,189.63
29.6,190.29
29.8,190.96
30.0,191.62
30.2,192.19
30.4,192.74
30.6,193.28
30.8,193.83
31.0,194.37
31.2,194.92
31.4,195.46
31.6,196.01
31.8,196.55
32.0,197.10
32.2,197.64
32.4,198.19
32.6,198.73
32.8,199.28
33.0,199.82
33.2,200.37
33.4,200.91
33.6,201.46
33.8,202.01
34.0,202.55
34.2,203.10
34.4,203.64
34.6,204.19
34.8,204.73
35.0,205.25
35.2,205.60
35.4,205.90
35.6,206.21
35.8,206.52
36.0,206.83
36.2,207.14
36.4,207.45
36.6,207.76
36.8,208.07
37.0,208.37
37.2,208.68
37.4,208.99
37.6,209.10
37.8,209.10
38.0,209.10
38.2,209.10
38.4,209.10
38.6,209.10
38.8,209.10
39.0,209.10
39.2,209.10
39.4,209.10
39.6,209.10
39.8,209.10
40.0,209.10
40.2,209.10
40.4,209.10
40.6,209.10
40.8,209.10
41.0,209.10
41.2,209.10
41.4,209.10
41.6,209.10
41.8,209.10
42.0,209.10
42.2,209.10
42.4,209.10
42.6,209.10
42.8,209.10
43.0,209.10
43.2,209.10
43.4,209.10
43.6,208.58
43.8,207.55
44.0,206.52
44.2,205.49
44.4,204.45
44.6,203.42
44.8,202.39
45.0,201.35
45.2,200.32
45.4,199.29
45.6,198.26
45.8,197.23
46.0,196.19
46.2,195.16
46.4,194.13
46.6,193.10
46.8,192.06
47.0,191.03
47.2,190.00
47.4,189.28
47.6,189.14
47.8,189.02
48.0,188.91
48.2,188.79
48.4,188.67
48.6,188.55
48.8,188.57
49.0,192.19
49.2,197.39
49.4,202.58
49.6,207.77
49.8,210.74
50.0,211.89
50.2,213.04
50.4,214.19
50.6,215.27
50.8,213.68
51.0,210.74
51.2,207.80
51.4,204.85
51.6,201.91
51.8,198.96
52.0,196.02
52.2,193.08
52.4,190.88
52.6,191.85
52.8,193.18
53.0,194.51
53.2,195.84
53.4,197.17
53.6,198.50
53.8,199.83
54.0,201.16
54.2,202.49
54.4,203.82
54.6,205.15
54.8,206.48
55.0,207.81
55.2,209.14
55.4,210.47
55.6,211.80
55.8,213.13
56.0,214.46
56.2,215.79
56.4,217.12
56.6,218.46
56.8,219.79
57.0,221.11
57.2,219.47
57.4,215.50
57.6,211.61
57.8,209.99
58.0,209.40
58.2,208.82
58.4,208.24
58.6,207.66
58.8,207.08
59.0,206.50
59.2,205.92
59.4,205.34
59.6,204.76
59.8,204.18
60.0,203.60
60.2,203.02
60.4,202.44
60.6,201.86
60.8,201.28
61.0,200.70
61.2,200.12
61.4,199.53
61.6,198.95
61.8,198.37
62.0,197.79
62.2,197.21
62.4,196.63
62.6,196.05
62.8,195.47
63.0,195.04
63.2,194.66
63.4,194.29
63.6,193.91
63.8,193.54
64.0,193.16
64.2,192.79
64.4,192.41
64.6,192.04
64.8,191.66
65.0,191.63
65.2,192.31
65.4,193.01
65.6,193.71
65.8,194.41
66.0,195.30
66.2,196.55
66.4,197.82
66.6,199.09
66.8,200.36
67.0,201.63
67.2,202.90
67.4,204.16
67.6,205.43
67.8,206.70
68.0,207.97
68.2,209.24
68.4,210.51
68.6,211.77
68.8,213.04
69.0,214.31
69.2,215.58
69.4,216.85
69.6,218.11
69.8,219.38
70.0,220.65
70.2,221.92
70.4,223.19
70.6,224.46
70.8,225.72
71.0,226.96
71.2,227.43
71.4,227.59
71.6,227.76
71.8,227.92
72.0,228.09
72.2,228.25
72.4,228.42
72.6,228.58
72.8,228.75
73.0,228.91
73.2,229.03
73.4,228.57
73.6,227.96
73.8,227.35
74.0,226.74
74.2,226.12
74.4,225.51
74.6,224.90
74.8,224.29
75.0,223.68
75.2,223.07
75.4,222.45
75.6,221.84
75.8,221.23
76.0,220.62
76.2,220.01
76.4,219.40
76.6,218.78
76.8,218.17
77.0,217.56
77.2,217.37
77.4,218.21
77.6,219.10
77.8,220.00
78.0,220.89
78.2,221.76
78.4,222.52
78.6,223.28
78.8,224.04
79.0,224.79
79.2,225.55
79.4,226.31
79.6,227.06
79.8,227.82
80.0,228.58
80.2,229.33
80.4,230.09
80.6,230.88
80.8,231.95
81.0,233.08
81.2,234.21
81.4,235.35
81.6,236.48
81.8,237.61
82.0,238.74
82.2,239.87
82.4,240.82
82.6,240.16
82.8,239.13
83.0,238.11
83.2,237.08
83.4,235.56
83.6,233.12
83.8,230.66
84.0,228.18
84.2,225.47
84.4,222.72
