/* DATA DESCRIPTION:
Citation:	Miller, Kenneth G; Browning, James V; Schmelz, W John; Kopp, Robert E; Mountain, Gregory S; Wright, James D (2020): Cenozoic sea-level relative to modern from deep-sea geochemical and continental margin records. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.923126 (DOI registration in progress)
Abstract:	We use published Pacific benthic foraminiferal oxygen isotope data and Mg/Ca records to derive a Cenozoic (66 Ma) global mean sea level (GMSL) estimate. This paper is novel in providing the first Pacific benthic foraminiferal oxygen isotopic splice for the entire Cenozoic, a detailed (Myr scale) sea-level record for the last 48 Ma based on the benthic foraminiferal oxygen isotopic and Mg/Ca approach (Mg/Ca records older than 48 Ma are uncertain). We use the 2012 Geological Time Scale (GTS), a 2-Myr smoothed paleotemperatures (Cramer et al., 2011) who used a low-pass filter that passes >80% of the amplitude for frequencies <0.5/Myr (wavelength >2 Myr), ramping down to <20% of the amplitude for frequencies >1.25/Myr (wavelength <0.8 Myr). We used equation 7b Cramer et al. (2011) and a simplified paleotemperature equation for benthic foraminifera T = 16.1– 4.76 [δ18Obenthic – (δ18Oseawater – 0.27)] to solve for oxygen isotopic changes of seawater. We assume that shorter term (<2 Myr) temperature changes comprise ~20% of the oxygen isotopic changes of seawater changes. The resultant oxygen isotopic changes of seawater estimate was scaled to GMSL changes using a revised seawater oxygen isotopes to sea-level calibration of 0.13‰/10 m of Winnick and Caves (2015). Because of temperature effects notable during peak Pleistocene interglacials, we iteratively fit the last interglacial cycle to known sea level during MIS5e and applied these temperatures (1.8°C) to major Middle to Late Pleistocene peak interglacials, tapering the temperature from the long term estimates for the peak interglacials using a Gaussian filter. We applied an empirically correction for carbonate ion change across the Eocene-Oligocene transition, to remove an apparent warming effect of ~1.5°C; we applied their empirical correction to the sea-level curve, reducing the amplitude by 28 meters from 34.17 to 34.30 Ma.
Keyword(s):	Cenozoic; Cryosphere; oxygen isotopes; sea-level
Supplement to:	Miller, Kenneth G; Browning, James V; Schmelz, W John; Kopp, Robert E; Mountain, Gregory S; Wright, James D (2020): Cenozoic sea-level and cryospheric evolution from deep-sea geochemical and continental margin records. Science Advances, 6 (20), eaaz1346, https://doi.org/10.1126/sciadv.aaz1346
Related to:	Miller, Kenneth G; Browning, James V; Schmelz, W John; Kopp, Robert E; Mountain, Gregory S; Wright, James D (2020): Smoothed Cenozoic sea-level relative to modern from deep-sea geochemical and continental margin records. https://doi.pangaea.de/10.1594/PANGAEA.923139
Source data set:	Dawber, Caroline F; Tripati, Aradhna K (2011): Constraints on glaciation in the middle Eocene (46-37 Ma) from Ocean Drilling Program (ODP) Site 1209 in the tropical Pacific Ocean. Paleoceanography, 26(2), https://doi.org/10.1029/2010PA002037
	Drury, Anna Joy; John, Cédric M; Shevenell, Amelia E (2016): Evaluating climatic response to external radiative forcing during the late Miocene to early Pliocene: New perspectives from eastern equatorial Pacific (IODP U1338) and North Atlantic (ODP 982) locations. Paleoceanography, 31(1), 167-184, https://doi.org/10.1002/2015PA002881
	Holbourn, Ann; Kuhnt, Wolfgang; Clemens, Steven C; Prell, Warren L; Andersen, Nils (2013): Middle to late Miocene stepwise climate cooling: Evidence from a high-resolution deep water isotope curve spanning 8 million years. Paleoceanography, 28, 1-12, https://doi.org/10.1002/2013PA002538
	Holbourn, Ann; Kuhnt, Wolfgang; Lyle, Mitchell W; Schneider, Leah; Romero, Oscar E; Andersen, Nils (2014): Middle Miocene climate cooling linked to intensification of eastern equatorial Pacific upwelling. Geology, 42(1), 19-22, https://doi.org/10.1130/G34890.1
	Kochhann, Karlos Guilherme Diemer; Holbourn, Ann; Kuhnt, Wolfgang; Channell, James E T; Lyle, Mitchell W; Shackford, Julia K; Wilkens, Roy H; Andersen, Nils (2016): Eccentricity pacing of eastern equatorial Pacific carbonate dissolution cycles during the Miocene Climatic Optimum. Paleoceanography, 31(9), 1176-1192, https://doi.org/10.1002/2016PA002988
	Lisiecki, Lorraine E; Raymo, Maureen E (2005): A Pliocene-Pleistocene stack of 57 globally distributed benthic d18O records. Paleoceanography, 20, PA1003, https://doi.org/10.1029/2004PA001071
	Pälike, Heiko; Norris, Richard D; Herrle, Jens O; Wilson, Paul A; Coxall, Helen; Lear, Caroline H; Shackleton, Nicholas J; Tripati, Aradhna K; Wade, Bridget S (2006): The Heartbeat of the Oligocene Climate System. Science, 314(5807), 1894-1898, https://doi.org/10.1126/science.1133822
	Shackleton, Nicholas J; Imbrie, John D; Hall, M A (1983): Oxygen and carbon isotope record of East Pacific core V19-30: implications for the formation of deep water in the late Pleistocene North Atlantic. Earth and Planetary Science Letters, 65(2), 233-244, https://doi.org/10.1016/0012-821X(83)90162-0
	Westerhold, Thomas; Röhl, Ursula; Donner, Barbara; Zachos, James C (2018): Global extent of early eocene hyperthermal events - a new Pacific benthic foraminiferal isotope record from Shatsky Rise (ODP Site 1209). Paleoceanography and Paleoclimatology, 33(6), 626-642, https://doi.org/10.1029/2017PA003306
Further details:	Cramer, Benjamin S; Miller, K G; Barrett, Peter J; Wright, James D (2011): Late Cretaceous–Neogene trends in deep ocean temperature and continental ice volume: Reconciling records of benthic foraminiferal geochemistry (δ18O and Mg/Ca) with sea level history. Journal of Geophysical Research, 116(C12), https://doi.org/10.1029/2011JC007255
	Winnick, Matthew J; Caves, Jeremy K (2015): Oxygen isotope mass-balance constraints on Pliocene sea level and East Antarctic Ice Sheet stability. Geology, 43(10), 879-882, https://doi.org/10.1130/G36999.1
Coverage:	MEDIAN LATITUDE: 8.694404 * MEDIAN LONGITUDE: -142.300286 * SOUTH-BOUND LATITUDE: -3.383000 * WEST-BOUND LONGITUDE: 116.272917 * NORTH-BOUND LATITUDE: 32.651700 * EAST-BOUND LONGITUDE: -83.520000
	DATE/TIME START: 1963-04-07T00:00:00 * DATE/TIME END: 2001-11-14T00:00:00
	MINIMUM ELEVATION: -4827.2 m * MAXIMUM ELEVATION: -2091.5 m
Event(s):	138-846 * LATITUDE: -3.095000 * LONGITUDE: -90.818330 * DATE/TIME START: 1991-05-21T00:00:00 * DATE/TIME END: 1991-05-26T00:00:00 * ELEVATION: -3296.0 m * Penetration: 871.5 m * Recovery: 821.61 m * LOCATION: South Pacific Ocean * CAMPAIGN: Leg138 (URI: https://doi.org/10.2973/odp.proc.ir.138.1992) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 92 cores; 865.5 m cored; 0 m drilled; 94.9 % recovery
	184-1146 * LATITUDE: 19.456700 * LONGITUDE: 116.272917 * DATE/TIME START: 1999-03-21T00:00:00 * DATE/TIME END: 1999-03-29T00:00:00 * ELEVATION: -2091.5 m * Penetration: 1455.6 m * Recovery: 1451.7 m * LOCATION: South China Sea (URI: http://en.wikipedia.org/wiki/South_China_Sea) * CAMPAIGN: Leg184 (URI: https://doi.org/10.2973/odp.proc.ir.184.2000) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 153 cores; 1450.6 m cored; 5 m drilled; 100.1% recovery
	198-1209 * LATITUDE: 32.651700 * LONGITUDE: 158.505983 * DATE/TIME START: 2001-09-18T00:00:00 * DATE/TIME END: 2001-09-23T00:00:00 * ELEVATION: -2387.3 m * Penetration: 865.1 m * Recovery: 766 m * LOCATION: North Pacific Ocean * CAMPAIGN: Leg198 (URI: https://doi.org/10.2973/odp.proc.ir.198.2002) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 83 cores; 759.4 m cored; 105.7 m drilled; 100.9% recovery
	199-1218 * LATITUDE: 8.889630 * LONGITUDE: -135.366660 * DATE/TIME: 2001-11-14T00:00:00 * ELEVATION: -4827.2 m * Penetration: 797.1 m * Recovery: 723.7 m * LOCATION: North Pacific Ocean * CAMPAIGN: Leg199 (URI: https://doi.org/10.2973/odp.proc.ir.199.2002) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 80 cores; 735.1 m cored; 62 m drilled; 98.5% recovery
	321-U1337 * LATITUDE: 3.833000 * LONGITUDE: -123.206000 * ELEVATION: -4476.0 m * CAMPAIGN: Exp321 (Pacific Equatorial Age Transect II / Juan de Fuca) (URI: https://doi.org/10.2204/iodp.proc.320321.2010) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	321-U1338 * LATITUDE: 2.507800 * LONGITUDE: -117.969910 * ELEVATION: -4210.8 m * CAMPAIGN: Exp321 (Pacific Equatorial Age Transect II / Juan de Fuca) (URI: https://doi.org/10.2204/iodp.proc.320321.2010) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	V19-30 * LATITUDE: -3.383000 * LONGITUDE: -83.520000 * DATE/TIME: 1963-04-07T00:00:00 * ELEVATION: -3091.0 m * Recovery: 18.18 m * CAMPAIGN: V19 * BASIS: Vema (URI: http://www.ldeo.columbia.edu/research/office-of-marine-operations/history/vema) * METHOD/DEVICE: Piston corer (PC)
Comment:	Oxygen: delta-18Obenthic of deep sea benthic foraminiferal from Pacific sites either generated on or corrected to Cibicidoides sp. and reported to per mil ( ‰) Vienna Pee Dee standard.
	delw: computed delta 18O seawater using the paleotemperature equation, delta-18Obenthic, and paleotemperatures from Cramer et al. (2011) reported to per mil Vienna Pee Dee standard.
	Sea level: computed using delta 18O seawater and calibration of 0.13‰/10 m and reported to meters above and below (-1) relative to present day.
Parameter(s):	Event label (Event) * PI: Miller, Kenneth G (https://orcid.org/0000-0002-7583-7425, kgm@rci.rutgers.edu)
	Reference/source (Reference) * PI: Miller, Kenneth G (https://orcid.org/0000-0002-7583-7425, kgm@rci.rutgers.edu) * COMMENT: ID
	Reference/source (Reference) * PI: Miller, Kenneth G (https://orcid.org/0000-0002-7583-7425, kgm@rci.rutgers.edu) * COMMENT: short reference
	AGE [ka BP] (Age) * GEOCODE * PI: Miller, Kenneth G (https://orcid.org/0000-0002-7583-7425, kgm@rci.rutgers.edu) * COMMENT: GTS2012
	Foraminifera, benthic δ18O [‰ PDB] (Foram bent δ18O) * PI: Miller, Kenneth G (https://orcid.org/0000-0002-7583-7425, kgm@rci.rutgers.edu) * COMMENT: values corrected to Cibicidoides sp., vs VPDB
	δ18O, seawater, reconstructed [‰ PDB] (δ18Osw) * PI: Miller, Kenneth G (https://orcid.org/0000-0002-7583-7425, kgm@rci.rutgers.edu) * METHOD/DEVICE: Calculated, after Cramer et al. (2011) (URI: https://doi.org/10.1029/2011JC007255) * COMMENT: vs VPDB
	Sea level, relative [m] (Sea lev rel) * PI: Miller, Kenneth G (https://orcid.org/0000-0002-7583-7425, kgm@rci.rutgers.edu) * METHOD/DEVICE: Calculated * COMMENT: relative to present day
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	64115 data points
*/
Event	Reference (ID)	Reference (short reference)	Age [ka BP] (GTS2012)	Foram bent δ18O [‰ PDB] (values corrected to Cibicidoi...)	δ18Osw [‰ PDB] (vs VPDB, Calculated, after Cr...)	Sea lev rel [m] (relative to present day, Calc...)
V19-30	Vema 1930	Shackleton et al. 1983	0.00	2.87	0.14	-10.86
V19-30	Vema 1930	Shackleton et al. 1983	1.31	2.84	0.11	-8.46
V19-30	Vema 1930	Shackleton et al. 1983	2.84	2.67	-0.06	5.14
V19-30	Vema 1930	Shackleton et al. 1983	3.57	2.79	0.06	-4.46
V19-30	Vema 1930	Shackleton et al. 1983	4.31	2.63	-0.10	8.34
V19-30	Vema 1930	Shackleton et al. 1983	5.45	2.76	0.03	-2.06
V19-30	Vema 1930	Shackleton et al. 1983	6.13	2.75	0.02	-1.26
V19-30	Vema 1930	Shackleton et al. 1983	6.77	2.65	-0.08	6.74
V19-30	Vema 1930	Shackleton et al. 1983	7.71	2.92	0.19	-14.86
V19-30	Vema 1930	Shackleton et al. 1983	8.90	2.92	0.19	-14.86
V19-30	Vema 1930	Shackleton et al. 1983	9.48	2.88	0.15	-11.66
V19-30	Vema 1930	Shackleton et al. 1983	10.03	2.89	0.16	-12.46
V19-30	Vema 1930	Shackleton et al. 1983	10.55	2.82	0.09	-6.86
V19-30	Vema 1930	Shackleton et al. 1983	10.98	2.84	0.11	-8.46
V19-30	Vema 1930	Shackleton et al. 1983	11.50	2.82	0.09	-6.86
V19-30	Vema 1930	Shackleton et al. 1983	11.88	3.21	0.48	-38.06
V19-30	Vema 1930	Shackleton et al. 1983	12.26	3.05	0.32	-25.26
V19-30	Vema 1930	Shackleton et al. 1983	12.60	3.23	0.50	-39.66
V19-30	Vema 1930	Shackleton et al. 1983	12.92	2.78	0.05	-3.66
V19-30	Vema 1930	Shackleton et al. 1983	13.24	3.34	0.61	-48.46
V19-30	Vema 1930	Shackleton et al. 1983	13.54	3.26	0.23	-18.03
V19-30	Vema 1930	Shackleton et al. 1983	13.84	3.23	0.20	-15.63
V19-30	Vema 1930	Shackleton et al. 1983	14.13	3.25	0.22	-17.23
V19-30	Vema 1930	Shackleton et al. 1983	14.43	3.74	0.71	-56.43
V19-30	Vema 1930	Shackleton et al. 1983	14.73	3.46	0.43	-34.03
V19-30	Vema 1930	Shackleton et al. 1983	15.02	3.61	0.58	-46.03
V19-30	Vema 1930	Shackleton et al. 1983	15.31	3.52	0.49	-38.83
V19-30	Vema 1930	Shackleton et al. 1983	15.59	3.80	0.77	-61.23
V19-30	Vema 1930	Shackleton et al. 1983	15.88	4.09	1.06	-84.43
V19-30	Vema 1930	Shackleton et al. 1983	16.16	4.00	0.97	-77.23
V19-30	Vema 1930	Shackleton et al. 1983	16.54	4.20	1.17	-93.23
V19-30	Vema 1930	Shackleton et al. 1983	16.83	4.27	1.24	-98.83
V19-30	Vema 1930	Shackleton et al. 1983	17.11	4.28	1.25	-99.63
V19-30	Vema 1930	Shackleton et al. 1983	17.39	4.19	1.16	-92.43
V19-30	Vema 1930	Shackleton et al. 1983	17.67	4.15	1.12	-89.23
V19-30	Vema 1930	Shackleton et al. 1983	17.95	4.58	1.55	-123.63
V19-30	Vema 1930	Shackleton et al. 1983	18.23	4.56	1.53	-122.03
V19-30	Vema 1930	Shackleton et al. 1983	18.50	4.44	1.41	-112.43
V19-30	Vema 1930	Shackleton et al. 1983	18.76	4.35	1.32	-105.23
V19-30	Vema 1930	Shackleton et al. 1983	19.03	4.51	1.48	-118.03
V19-30	Vema 1930	Shackleton et al. 1983	19.26	4.49	1.46	-116.43
V19-30	Vema 1930	Shackleton et al. 1983	19.53	4.36	1.33	-106.03
V19-30	Vema 1930	Shackleton et al. 1983	19.77	4.34	1.31	-104.43
V19-30	Vema 1930	Shackleton et al. 1983	20.00	4.23	1.20	-95.63
V19-30	Vema 1930	Shackleton et al. 1983	20.24	4.48	1.45	-115.63
V19-30	Vema 1930	Shackleton et al. 1983	20.47	4.50	1.47	-117.23
V19-30	Vema 1930	Shackleton et al. 1983	20.84	4.32	1.29	-102.83
V19-30	Vema 1930	Shackleton et al. 1983	21.13	4.31	1.28	-102.03
V19-30	Vema 1930	Shackleton et al. 1983	21.34	4.43	1.40	-111.63
V19-30	Vema 1930	Shackleton et al. 1983	21.55	4.46	1.43	-114.03
V19-30	Vema 1930	Shackleton et al. 1983	21.76	4.25	1.22	-97.23
V19-30	Vema 1930	Shackleton et al. 1983	21.96	4.41	1.38	-110.03
V19-30	Vema 1930	Shackleton et al. 1983	22.17	4.35	1.32	-105.23
V19-30	Vema 1930	Shackleton et al. 1983	22.37	4.36	1.33	-106.03
V19-30	Vema 1930	Shackleton et al. 1983	22.57	4.25	1.22	-97.23
V19-30	Vema 1930	Shackleton et al. 1983	22.77	4.25	1.22	-97.23
V19-30	Vema 1930	Shackleton et al. 1983	22.97	4.32	1.29	-102.83
V19-30	Vema 1930	Shackleton et al. 1983	23.17	4.32	1.29	-102.83
V19-30	Vema 1930	Shackleton et al. 1983	23.37	4.34	1.31	-104.43
V19-30	Vema 1930	Shackleton et al. 1983	23.57	4.29	1.26	-100.43
V19-30	Vema 1930	Shackleton et al. 1983	23.77	4.29	1.26	-100.43
V19-30	Vema 1930	Shackleton et al. 1983	23.97	4.48	1.45	-115.63
V19-30	Vema 1930	Shackleton et al. 1983	24.17	4.32	1.29	-102.83
V19-30	Vema 1930	Shackleton et al. 1983	24.37	4.33	1.30	-103.63
V19-30	Vema 1930	Shackleton et al. 1983	24.58	4.30	1.27	-101.23
V19-30	Vema 1930	Shackleton et al. 1983	24.79	4.23	1.20	-95.63
V19-30	Vema 1930	Shackleton et al. 1983	25.00	4.32	1.29	-102.83
V19-30	Vema 1930	Shackleton et al. 1983	25.22	4.41	1.38	-110.03
V19-30	Vema 1930	Shackleton et al. 1983	25.45	4.27	1.24	-98.83
V19-30	Vema 1930	Shackleton et al. 1983	25.67	4.14	1.11	-88.43
V19-30	Vema 1930	Shackleton et al. 1983	25.90	4.28	1.25	-99.63
V19-30	Vema 1930	Shackleton et al. 1983	26.14	4.42	1.39	-110.83
V19-30	Vema 1930	Shackleton et al. 1983	26.37	4.28	1.25	-99.63
V19-30	Vema 1930	Shackleton et al. 1983	26.62	4.19	1.16	-92.43
V19-30	Vema 1930	Shackleton et al. 1983	26.88	4.12	1.09	-86.83
V19-30	Vema 1930	Shackleton et al. 1983	27.13	4.17	1.14	-90.83
V19-30	Vema 1930	Shackleton et al. 1983	27.40	4.17	1.14	-90.83
V19-30	Vema 1930	Shackleton et al. 1983	27.68	4.23	1.20	-95.63
V19-30	Vema 1930	Shackleton et al. 1983	27.95	4.12	1.09	-86.83
V19-30	Vema 1930	Shackleton et al. 1983	28.25	4.20	1.17	-93.23
V19-30	Vema 1930	Shackleton et al. 1983	28.55	4.09	1.06	-84.43
V19-30	Vema 1930	Shackleton et al. 1983	28.85	3.98	0.95	-75.63
V19-30	Vema 1930	Shackleton et al. 1983	29.17	3.91	0.88	-70.03
V19-30	Vema 1930	Shackleton et al. 1983	29.48	3.89	0.86	-68.43
V19-30	Vema 1930	Shackleton et al. 1983	29.81	4.05	1.02	-81.23
V19-30	Vema 1930	Shackleton et al. 1983	30.14	4.00	0.97	-77.23
V19-30	Vema 1930	Shackleton et al. 1983	30.47	4.03	1.00	-79.63
V19-30	Vema 1930	Shackleton et al. 1983	30.81	3.99	0.96	-76.43
V19-30	Vema 1930	Shackleton et al. 1983	31.16	3.71	0.68	-54.03
V19-30	Vema 1930	Shackleton et al. 1983	31.51	3.92	0.89	-70.83
V19-30	Vema 1930	Shackleton et al. 1983	31.86	3.88	0.85	-67.63
V19-30	Vema 1930	Shackleton et al. 1983	32.22	3.95	0.92	-73.23
V19-30	Vema 1930	Shackleton et al. 1983	32.57	3.92	0.89	-70.83
V19-30	Vema 1930	Shackleton et al. 1983	32.94	4.01	0.98	-78.03
V19-30	Vema 1930	Shackleton et al. 1983	33.29	3.99	0.96	-76.43
V19-30	Vema 1930	Shackleton et al. 1983	33.67	3.98	0.95	-75.63
V19-30	Vema 1930	Shackleton et al. 1983	34.05	3.89	0.86	-68.43
V19-30	Vema 1930	Shackleton et al. 1983	34.45	3.96	0.93	-74.03
V19-30	Vema 1930	Shackleton et al. 1983	34.80	4.00	0.97	-77.23
V19-30	Vema 1930	Shackleton et al. 1983	35.18	4.10	1.07	-85.23
V19-30	Vema 1930	Shackleton et al. 1983	35.56	3.91	0.88	-70.03
V19-30	Vema 1930	Shackleton et al. 1983	35.94	4.09	1.06	-84.43
V19-30	Vema 1930	Shackleton et al. 1983	36.33	3.88	0.85	-67.63
V19-30	Vema 1930	Shackleton et al. 1983	37.11	3.91	0.88	-70.03
V19-30	Vema 1930	Shackleton et al. 1983	37.50	3.86	0.83	-66.03
V19-30	Vema 1930	Shackleton et al. 1983	37.89	3.85	0.82	-65.23
V19-30	Vema 1930	Shackleton et al. 1983	38.29	3.77	0.74	-58.83
V19-30	Vema 1930	Shackleton et al. 1983	38.68	3.95	0.92	-73.23
V19-30	Vema 1930	Shackleton et al. 1983	39.08	3.85	0.82	-65.23
V19-30	Vema 1930	Shackleton et al. 1983	39.48	4.01	0.98	-78.03
V19-30	Vema 1930	Shackleton et al. 1983	39.88	3.99	0.96	-76.43
V19-30	Vema 1930	Shackleton et al. 1983	40.28	4.07	1.04	-82.83
V19-30	Vema 1930	Shackleton et al. 1983	41.09	3.83	0.80	-63.63
V19-30	Vema 1930	Shackleton et al. 1983	41.49	3.89	0.86	-68.43
V19-30	Vema 1930	Shackleton et al. 1983	41.90	3.89	0.86	-68.43
V19-30	Vema 1930	Shackleton et al. 1983	42.31	3.94	0.91	-72.43
V19-30	Vema 1930	Shackleton et al. 1983	42.71	3.98	0.95	-75.63
V19-30	Vema 1930	Shackleton et al. 1983	43.53	3.95	0.92	-73.23
V19-30	Vema 1930	Shackleton et al. 1983	46.01	3.88	0.85	-67.63
V19-30	Vema 1930	Shackleton et al. 1983	46.43	3.89	0.86	-68.43
V19-30	Vema 1930	Shackleton et al. 1983	46.85	4.02	0.99	-78.83
V19-30	Vema 1930	Shackleton et al. 1983	47.68	3.70	0.67	-53.23
V19-30	Vema 1930	Shackleton et al. 1983	48.10	3.65	0.62	-49.23
V19-30	Vema 1930	Shackleton et al. 1983	48.52	3.72	0.69	-54.83
V19-30	Vema 1930	Shackleton et al. 1983	48.94	3.62	0.59	-46.83
V19-30	Vema 1930	Shackleton et al. 1983	49.36	3.90	0.87	-69.23
V19-30	Vema 1930	Shackleton et al. 1983	50.20	3.90	0.87	-69.23
V19-30	Vema 1930	Shackleton et al. 1983	50.62	3.84	0.81	-64.43
V19-30	Vema 1930	Shackleton et al. 1983	51.04	3.85	0.82	-65.23
V19-30	Vema 1930	Shackleton et al. 1983	51.47	3.87	0.84	-66.83
V19-30	Vema 1930	Shackleton et al. 1983	51.89	3.90	0.87	-69.23
V19-30	Vema 1930	Shackleton et al. 1983	52.31	3.97	0.94	-74.83
V19-30	Vema 1930	Shackleton et al. 1983	52.74	3.93	0.90	-71.63
V19-30	Vema 1930	Shackleton et al. 1983	53.16	3.91	0.88	-70.03
V19-30	Vema 1930	Shackleton et al. 1983	53.59	3.81	0.78	-62.03
V19-30	Vema 1930	Shackleton et al. 1983	54.15	3.81	0.78	-62.03
V19-30	Vema 1930	Shackleton et al. 1983	54.30	3.78	0.75	-59.63
V19-30	Vema 1930	Shackleton et al. 1983	54.37	3.42	0.39	-30.83
