Time(kyBP),CH4(ppb)
0.0,867.07
0.2,712.23
0.4,667.41
0.6,670.96
0.8,657.07
1.0,636.73
1.2,638.84
1.4,638.06
1.6,623.94
1.8,615.61
2.0,602.74
2.2,601.12
2.4,591.87
2.6,590.17
2.8,580.29
3.0,577.18
3.2,577.09
3.4,578.84
3.6,575.62
3.8,575.98
4.0,571.04
4.2,576.63
4.4,573.03
4.6,566.36
4.8,569.14
5.0,562.21
5.2,562.51
5.4,571.17
5.6,579.23
5.8,578.57
6.0,585.29
6.2,589.01
6.4,594.95
6.6,602.48
6.8,612.45
7.0,615.27
7.2,616.50
7.4,617.74
7.6,619.29
7.8,612.07
8.0,629.14
8.2,648.42
8.4,656.86
8.6,663.56
8.8,665.14
9.0,664.30
9.2,667.20
9.4,675.75
9.6,685.97
9.8,676.34
10.0,695.43
10.2,689.18
10.4,671.27
10.6,668.99
10.8,683.64
11.0,672.96
11.2,656.65
11.4,515.48
11.6,478.41
11.8,472.54
12.0,471.23
12.2,506.27
12.4,589.46
12.6,633.88
12.8,645.98
13.0,664.24
13.2,647.43
13.4,624.33
13.6,619.40
13.8,605.46
14.0,569.09
14.2,498.19
14.4,469.87
14.6,464.19
14.8,465.25
15.0,472.63
15.2,459.07
15.4,449.67
15.6,449.99
15.8,448.24
16.0,437.26
16.2,422.95
16.4,410.11
16.6,406.58
16.8,398.72
17.0,390.46
17.2,379.74
17.4,373.17
17.6,376.94
17.8,370.51
18.0,372.70
18.2,374.48
18.4,372.70
18.6,371.83
18.8,372.90
19.0,375.36
19.2,369.25
19.4,364.50
19.6,364.31
19.8,360.18
20.0,373.36
20.2,377.20
20.4,379.37
20.6,373.09
20.8,373.23
21.0,362.97
21.2,355.38
21.4,356.06
21.6,357.12
21.8,356.96
22.0,357.81
22.2,370.52
22.4,384.73
22.6,398.93
22.8,396.65
23.0,387.05
23.2,389.83
23.4,389.70
23.6,388.20
23.8,391.24
24.0,384.95
24.2,366.96
24.4,365.92
24.6,379.29
24.8,382.32
25.0,372.11
25.2,370.59
25.4,368.45
25.6,364.30
25.8,357.51
26.0,364.55
26.2,374.68
26.4,384.71
26.6,393.76
26.8,390.83
27.0,386.67
27.2,390.85
27.4,399.93
27.6,416.92
27.8,401.62
28.0,389.35
28.2,400.31
28.4,408.52
28.6,425.20
28.8,434.82
29.0,403.75
29.2,378.43
29.4,372.79
29.6,384.84
29.8,393.95
30.0,397.34
30.2,394.75
30.4,401.67
30.6,408.27
30.8,404.75
31.0,395.04
31.2,404.03
31.4,411.96
31.6,420.08
31.8,428.52
32.0,450.94
32.2,451.95
32.4,426.76
32.6,407.79
32.8,413.42
33.0,427.98
33.2,441.97
33.4,455.17
33.6,470.72
33.8,423.81
34.0,421.82
34.2,429.58
34.4,434.57
34.6,466.75
34.8,506.13
35.0,513.74
35.2,490.57
35.4,425.72
35.6,434.80
35.8,429.64
36.0,440.64
36.2,455.15
36.4,475.92
36.6,514.27
36.8,529.46
37.0,545.82
37.2,562.40
37.4,570.34
37.6,548.01
37.8,531.45
38.0,507.31
38.2,463.25
38.4,441.34
38.6,447.26
38.8,452.52
39.0,444.43
39.2,448.04
39.4,441.03
39.6,427.07
39.8,416.59
40.0,420.49
40.2,441.80
40.4,427.37
40.6,416.47
40.8,427.35
41.0,428.61
41.2,450.26
41.4,465.47
41.6,461.53
41.8,437.24
42.0,421.94
42.2,416.90
42.4,436.28
42.6,450.73
42.8,463.63
43.0,480.75
43.2,474.84
43.4,448.00
43.6,417.86
43.8,412.55
44.0,420.16
44.2,429.33
44.4,431.29
44.6,457.05
44.8,465.88
45.0,465.65
45.2,483.26
45.4,472.18
45.6,480.01
45.8,493.94
46.0,498.65
46.2,500.10
46.4,508.97
46.6,497.91
46.8,480.13
47.0,443.20
47.2,436.28
47.4,429.57
47.6,432.44
47.8,444.15
48.0,442.83
48.2,418.02
48.4,423.45
48.6,431.85
48.8,447.31
49.0,461.42
49.2,462.86
49.4,445.23
49.6,442.50
49.8,471.11
50.0,483.63
50.2,473.48
50.4,485.38
50.6,493.05
50.8,503.21
51.0,511.83
51.2,521.16
51.4,538.04
51.6,522.91
51.8,526.44
52.0,528.78
52.2,540.79
52.4,558.03
52.6,539.67
52.8,530.91
53.0,530.66
53.2,532.07
53.4,513.70
53.6,464.03
53.8,438.05
54.0,437.46
54.2,445.14
54.4,460.24
54.6,468.09
54.8,476.10
55.0,501.20
55.2,484.08
55.4,462.63
55.6,475.34
55.8,503.91
56.0,506.91
56.2,531.64
56.4,547.17
56.6,548.73
56.8,547.99
57.0,549.26
57.2,543.02
57.4,527.85
57.6,516.88
57.8,531.84
58.0,556.58
58.2,543.11
58.4,509.55
58.6,514.96
58.8,474.78
